Symbols,cluster
Plac8,1
Hp,1
Ly6c2,1
Ms4a4c,1
Sirpb1c,1
Cd52,1
Ifitm3,1
Ccr2,1
Tmsb10,1
Mcemp1,1
Emb,1
Thbs1,1
Napsa,1
Coro1a,1
Msrb1,1
Ifitm2,1
Il1b,1
Ifitm6,1
Plbd1,1
Clec4e,1
Ms4a6c,1
Lst1,1
Rplp0,1
Pkm,1
Tyrobp,1
S100a11,1
Ltb4r1,1
Actg1,1
Slpi,1
H3f3a,1
Gm9733,1
Chil3,1
Gm5150,1
Sirpb1b,1
Arpc1b,1
Tgfbi,1
Hspa8,1
Srgn,1
Taldo1,1
Cd177,1
Lgals3,1
Tarm1,1
F10,1
Dmkn,1
Clec4d,1
Rps9,1
Prdx5,1
Rps6,1
Klra2,1
Fau,1
Cytip,1
Rpl13,1
Gngt2,1
Vcan,1
Osm,1
Ifitm1,1
Cyp4f18,1
Pim1,1
Pla2g7,1
Fcgr1,1
Rps27,1
Junb,1
Prdx6,1
Trem1,1
H3f3b,1
Btg1,1
Rpl18a,1
Ly6e,1
Rps16,1
Cd53,1
Bin2,1
Smox,1
Tpd52,1
Slc7a11,1
Fxyd5,1
Alox5ap,1
Ms4a6d,1
Clec4a2,1
Fgr,1
Lmnb1,1
Sec61g,1
Hif1a,1
Slfn2,1
Itgb7,1
Rpl18,1
AB124611,1
Rbm3,1
Zbp1,1
Plaur,1
Gm2a,1
Fcer1g,1
Actr3,1
Tlr2,1
Ctsh,1
Fos,1
Arhgdib,1
Ier3,1
Arpc2,1
Ccl6,1
Eno1,1
Fam96a,1
Ifi209,1
Uck2,1
H2-DMa,1
Ppp1ca,1
Emilin2,1
Rps7,1
Pld4,1
Rpl4,1
Rps19,1
Rps14,1
Clec4a3,1
Lrrc25,1
Rpl9,1
Adam8,1
H2afj,1
Ncf4,1
Igsf6,1
Rnf149,1
Rps27a,1
Rnh1,1
Msr1,1
Rpl8,1
Ube2d3,1
Dusp1,1
Mefv,1
Phlda1,1
Samhd1,1
Rps15a,1
Rpl10,1
Ifngr1,1
Csf2ra,1
Slc25a5,1
Nfkbia,1
Eif4a1,1
Arpc3,1
Glipr2,1
Serp1,1
Runx3,1
Rpl34,1
Adora2b,1
Rpl17,1
Zfp36,1
Rps3,1
Sec61b,1
Rps18,1
Adssl1,1
Cfp,1
Rpsa,1
Slc15a3,1
Gm9844,1
Flot1,1
Gpr132,1
Mxd1,1
Aprt,1
Ccrl2,1
Uba52,1
Gsr,1
Mrpl52,1
Ptpn1,1
Capza2,1
Ifi204,1
Rpl15,1
Slc16a3,1
Skap2,1
Anxa2,1
Rac2,1
Myl12a,1
Cd14,1
Tgif1,1
Esd,1
Ms4a6b,1
Gapdh,1
Cdk2ap2,1
Cdkn1a,1
Clec4a1,1
Pde4b,1
Mmp19,1
Clec4n,1
Rpl19,1
Hnrnpa3,1
Mpeg1,1
Rpl27a,1
Pirb,1
Rpl36al,1
Socs3,1
Jarid2,1
Hcls1,1
Csf2rb,1
Lrrfip1,1
Rpl24,1
Ccr1,1
Gm6377,1
Sub1,1
Nfe2l2,1
Evl,1
Shisa5,1
Sys1,1
Btf3,1
Lsp1,1
Hck,1
Smpdl3a,1
Id2,1
Capzb,1
Btg2,1
Glrx,1
Smim3,1
Nr4a2,1
Arpc4,1
Mrpl33,1
Cnn2,1
Tmem167,1
Cotl1,1
Kdm6b,1
Myl12b,1
Cxcl2,1
Gm21188,1
Srsf5,1
Nr4a1,1
Arf1,1
Pgk1,1
Ctsc,1
Por,1
Hnrnpdl,1
Mgst1,1
Rpl27,1
Ncf2,1
Ppp1r15a,1
Irf5,1
Chmp4b,1
Cd300c2,1
Ldha,1
Pold4,1
Tspo,1
Rbm39,1
Clic1,1
Psmb8,1
Tpst2,1
Gda,1
Ube2n,1
Eif3k,1
Fam107b,1
Fosl2,1
Eif3f,1
Atf3,1
Eif5a,1
St3gal4,1
Ccl9,1
Limd2,1
Ifngr2,1
Vasp,1
Rgs2,1
Ptprc,1
Ifrd1,1
Gm11808,1
Ucp2,1
Lman2,1
Ppp4c,1
Plin2,1
Jun,1
Pycard,1
Myd88,1
Actb,1
Coro1b,1
Selplg,1
Alas1,1
Fyb,1
Cope,1
Snx1,1
H2afy,1
Casp6,1
Tmbim6,1
Il1rn,1
Ubc,1
H2-DMb1,1
Litaf,1
Erp44,1
Ndel1,1
D8Ertd738e,1
Psma1,1
Kdm7a,1
Lyn,1
Il18,1
Hnrnpk,1
Rps27rt,1
Rnpep,1
Tma7,1
Eif3h,1
Milr1,1
Gadd45b,1
Cd300a,1
Rab32,1
Map2k3,1
Lilr4b,1
Chd7,1
Tmed5,1
Gnb2,1
Pid1,1
H13,1
Arf5,1
Sp100,1
Slfn5,1
Ptpn6,1
Gm9843,1
Pstpip1,1
Pitpna,1
Psma7,1
Traf1,1
Psme1,1
Cisd2,1
Trps1,1
Hpcal1,1
Pilra,1
Spcs2,1
Itgb2,1
Atp5f1,1
Tgfb1,1
Ndufa3,1
Ssr2,1
Atp5c1,1
Birc3,1
Ccl2,1
Agpat4,1
Gcsh,1
Ccnl1,1
Cdkn2d,1
Sf3b1,1
Hmgcl,1
Srsf3,1
Tpm4,1
Scand1,1
Tmem258,1
Zeb2,1
Plek,1
Pxk,1
Gdi2,1
Dennd4a,1
Gmfg,1
Cd86,1
D1Ertd622e,1
Il17ra,1
Trib1,1
Rgcc,1
Tor1a,1
Vmp1,1
Tnfrsf1a,1
Manf,1
Aif1,1
Picalm,1
Gadd45g,1
Fermt3,1
Sde2,1
Xbp1,1
Mcub,1
Ddx39,1
Emd,1
Tmed2,1
Sbno2,1
Zyx,1
Hebp1,1
B4galnt1,1
Sf3b6,1
Aldoa,1
Ccdc12,1
Psmb9,1
Tm6sf1,1
Rhog,1
Nop53,1
Ifnar2,1
Fis1,1
Tgm2,1
Hspa5,1
Psme2,1
Eif2s3y,1
Iscu,1
Tor1aip1,1
Pdia6,1
Psmb10,1
Fes,1
Uqcrc1,1
Vamp4,1
Ppt1,1
Smim4,1
Ube2l3,1
Nmi,1
Gsdmd,1
Tmem14c,1
