Symbols,Cluster
Adam23,1
Acsl3,1
Sned1,1
Slc45a3,1
Kcnj10,1
Slc40a1,1
Cd55,1
Mpzl1,1
Tmem26,1
Slc16a9,1
Igf1,1
Sash1,1
Tspan15,1
Trpm2,1
Spic,1
Kcnj16,1
Cyfip2,1
Tgtp,1
Gdpd1,1
Hap1,1
Pecam1,1
Cd300e,1
St6galnac2,1
Gpr65,1
Serpina3f,1
Crip2,1
Slc22a23,1
E130203B14Rik,1
Gfra2,1
Dnase1l3,1
Tgm1,1
Adamdec1,1
C6,1
Myo10,1
Cmbl,1
Col14a1,1
Skp2,1
Enpp2,1
Apol7c,1
I730030J21Rik,1
Zdhhc23,1
H2-Ab1,1
Treml4,1
Epb41l3,1
H2-Aa,1
C2,1
Ptprm,1
Iigp1,1
Cd74,1
Sema6a,1
Ms4a4a,1
Ifit3,1
Ms4a14,1
Ms4a7,1
Fmnl2,1
Sema6d,1
Prnp,1
Stk39,1
Nr1h3,1
Rasgrp1,1
Ptpn22,1
Kcna2,1
Gm10672,1
Cd1d1,1
Vcam1,1
Bank1,1
Raver2,1
Sgip1,1
Ppap2b,1
Ece1,1
Arap2,1
Abcg3,1
5830443L24Rik,1
Gbp4,1
Mpa2l,1
Adrbk2,1
Gtf2ird1,1
Usp12,1
Akr1b7,1
1700111E14Rik,1
Mpp6,1
Dysf,1
Clec4a1,1
Cd163,1
Clec9a,1
Dgki,1
Klrk1,1
Klrc1,1
Plbd1,1
Dlg1,1
Hs3st2,1
Itgad,1
Art2a,1
Zdhhc2,1
Hmox1,1
Nlrc5,1
A730069N07Rik,1
Snx25,1
Mmp13,1
Cadm1,1
Myo9a,1
Paqr9,1
Pcolce2,1
Itga9,1
Ccr3,1
Gpc4,1
Slc9a4,2
Rufy4,2
Plscr1,2
Uck2,2
Perp,2
Dna2,2
Phlda1,2
Plxnc1,2
Vstm2a,2
Slc6a4,2
Aldoc,2
Car4,2
A430084P05Rik,2
Krt19,2
Prkch,2
Gm5068,2
Akap5,2
Mfsd7c,2
Zfp125,2
Prkar2b,2
Tc2n,2
Clmn,2
Dnahc11,2
Gcnt2,2
Net1,2
Mak,2
Plp2,2
Ear2,2
Slc39a2,2
Ear1,2
Ear10,2
Sftpc,2
Matn2,2
Krt79,2
Cd200r4,2
Ccdc80,2
Cldn1,2
Atp13a3,2
Trem1,2
Epcam,2
Cpne5,2
S100a11,2
Lipf,2
Gpr120,2
Kazald1,2
Gal,2
Scgb1a1,2
Tmem216,2
Tmem138,2
Mamdc2,2
Fam189a2,2
Ch25h,2
Il1rn,2
Kynu,2
Plp2,2
Bub1b,2
Ly75,2
Prr5l,2
Sulf2,2
Nceh1,2
Tmem154,2
Kcnn3,2
Ctsk,2
Al504432,2
Bcar3,2
Mcoln3,2
Tlr2,2
Cd2,2
Chi3l3,2
Lmo4,2
Lepr,2
Atp6v0d2,2
Sema3e,2
Afap1,2
C530008M17Rik,2
Agpat9,2
Spp1,2
Ptpn12,2
Naaa,2
Card11,2
Flt1,2
A430107O13Rik,2
Gpnmb,2
Fabp1,2
Il12rb2,2
Cidec,2
Cd69,2
Clec7a,2
Olr1,2
Siglec5,2
Atp10a,2
Ucp3,2
Itgal,2
Itgax,2
Cdh1,2
Rab11fip1,2
Mtmr7,2
Cyp4f18,2
Mmp8,2
Trim29,2
Mcam,2
1600029D21Rik,2
Anxa2,2
Nrg4,2
Acaa1b,2
Htr2c,2
Slc9a7,2
L1cam,2
Serpinb2,3
Serpinb10,3
Serpinb8,3
Sell,3
Selp,3
F5,3
Rp1,3
Mfsd6,3
Fn1,3
Pam,3
Rgs18,3
Prg4,3
Tgfb2,3
Fabp7,3
Prtn3,3
Hal,3
9130014G24Rik,3
Arg1,3
Lyz1,3
Gas7,3
Mgl1,3
Atp2a3,3
Slfn1,3
Slfn4,3
Gm11428,3
Acaca,3
Alox15,3
Efcab5,3
Icam2,3
Fam20a,3
Abca6,3
Egln3,3
Cmah,3
Edil3,3
F13a1,3
Flnb,3
Dnahc12,3
Rarb,3
Ednrb,3
Ank,3
Tiaf2,3
Rai14,3
Itgb7,3
Hgd,3
Retnla,3
Gbe1,3
Cyp2ab1,3
Ltbp1,3
C4b,3
C4a,3
Lrg1,3
Emilin2,3
Xdh,3
Gata6,3
Lama3,3
Gypc,3
Klf9,3
Thbs1,3
Lbp,3
St8sia6,3
Garnl3,3
Sestd1,3
Hdc,3
Cd93,3
1110032E23Rik ,3
S100a4,3
S100a6,3
Gbp1,3
Ecm1,3
Slc44a1,3
Padi4,3
Car6,3
Pf4,3
Cxcl13,3
Fam20c,3
Hpse,3
Ccl24,3
Stard13,3
Clec4d,3
Wnt2,3
Clec4c,3
Vmn2r26,3
Ifitm2,3
Pde2a,3
Apoc2,3
Bcam,3
Atp1a3,3
Saa3,3
Gprc5b,3
Adam8,3
Ifitm2,3
Ifitm6,3
Fgfr1,3
Efnb2,3
Msr1,3
Hp,3
Calml4,3
Aldh1a2,3
Nedd4,3
Mst1r,3
S1pr5,3
Zbtb16,3
C230081A13Rik,3
Aqp9,3
Cgnl1,3
Vsig4,3
Olfml2b,4
Cd34,4
Serpine2,4
4933406P04Rik,4
Eya4,4
Lrrc3,4
Rtn4rl1,4
