Symbols,cluster
ENSMUSG00000000028,1
ENSMUSG00000000058,1
ENSMUSG00000000088,1
ENSMUSG00000000127,1
ENSMUSG00000000154,1
ENSMUSG00000000168,1
ENSMUSG00000000171,1
ENSMUSG00000000184,1
ENSMUSG00000000244,1
ENSMUSG00000000253,1
ENSMUSG00000000276,1
ENSMUSG00000000290,1
ENSMUSG00000000295,1
ENSMUSG00000000303,1
ENSMUSG00000000325,1
ENSMUSG00000000326,1
ENSMUSG00000000340,1
ENSMUSG00000000365,1
ENSMUSG00000000439,1
ENSMUSG00000000440,1
ENSMUSG00000000441,1
ENSMUSG00000000532,1
ENSMUSG00000000538,1
ENSMUSG00000000581,1
ENSMUSG00000000743,1
ENSMUSG00000000751,1
ENSMUSG00000000776,1
ENSMUSG00000000794,1
ENSMUSG00000000805,1
ENSMUSG00000000826,1
ENSMUSG00000000827,1
ENSMUSG00000000876,1
ENSMUSG00000000934,1
ENSMUSG00000001018,1
ENSMUSG00000001053,1
ENSMUSG00000001054,1
ENSMUSG00000001056,1
ENSMUSG00000001089,1
ENSMUSG00000001127,1
ENSMUSG00000001134,1
ENSMUSG00000001138,1
ENSMUSG00000001158,1
ENSMUSG00000001166,1
ENSMUSG00000001211,1
ENSMUSG00000001249,1
ENSMUSG00000001313,1
ENSMUSG00000001323,1
ENSMUSG00000001348,1
ENSMUSG00000001366,1
ENSMUSG00000001376,1
ENSMUSG00000001403,1
ENSMUSG00000001416,1
ENSMUSG00000001418,1
ENSMUSG00000001420,1
ENSMUSG00000001424,1
ENSMUSG00000001441,1
ENSMUSG00000001517,1
ENSMUSG00000001525,1
ENSMUSG00000001542,1
ENSMUSG00000001552,1
ENSMUSG00000001576,1
ENSMUSG00000001642,1
ENSMUSG00000001674,1
ENSMUSG00000001751,1
ENSMUSG00000001755,1
ENSMUSG00000001785,1
ENSMUSG00000001786,1
ENSMUSG00000001794,1
ENSMUSG00000001891,1
ENSMUSG00000001930,1
ENSMUSG00000001942,1
ENSMUSG00000001983,1
ENSMUSG00000001999,1
ENSMUSG00000002015,1
ENSMUSG00000002031,1
ENSMUSG00000002055,1
ENSMUSG00000002058,1
ENSMUSG00000002068,1
ENSMUSG00000002102,1
ENSMUSG00000002103,1
ENSMUSG00000002105,1
ENSMUSG00000002108,1
ENSMUSG00000002109,1
ENSMUSG00000002228,1
ENSMUSG00000002233,1
ENSMUSG00000002280,1
ENSMUSG00000002289,1
ENSMUSG00000002297,1
ENSMUSG00000002319,1
ENSMUSG00000002346,1
ENSMUSG00000002365,1
ENSMUSG00000002379,1
ENSMUSG00000002393,1
ENSMUSG00000002409,1
ENSMUSG00000002458,1
ENSMUSG00000002475,1
ENSMUSG00000002496,1
ENSMUSG00000002504,1
ENSMUSG00000002602,1
