Symbols,Cluster
Cdk8,1
Mrc1,1
Atp6v0d2,1
Kcnip4,1
Spata6,1
Vrtn,1
Camk1d,1
Cmss1,1
Clec7a,1
Lpl,1
Ear2,1
Tcf7l2,1
Adipor2,1
Ear1,1
Chil3,1
Hsp90b1,1
Lsp1,1
Il31ra,1
Palb2,1
Txnip,1
Mir6240,1
Sema3c,1
Aplp2,1
Cd9,1
Wfdc21,1
Pparg,1
Car4,1
Kpna1,1
Tmem56,1
Plet1,1
Top2a,2
Mki67,2
Pclaf,2
Kif11,2
Hist1h1b,2
Smc2,2
Stmn1,2
Birc5,2
Cenpe,2
Nusap1,2
Prc1,2
Ube2c,2
Tuba1b,2
Hmgb2,2
Ccna2,2
Kif15,2
Mcm3,2
Tubb5,2
Nucks1,2
Atad2,2
H2afv,2
Cenpf,2
Rrm1,2
Cdk1,2
Cep55,2
Nup50,2
Rbbp7,2
Spc25,2
Apitd1,2
Rrm2,2
Saa3,3
Acod1,3
Lrrtm3,3
Ly6i,3
Pid1,3
Pla2g7,3
Fmnl2,3
Ly6a,3
Ccl5,3
Cog7,3
Fyb,3
Aoah,3
Ly6c2,3
AW112010,3
F13a1,3
Arg1,3
Hp,3
Lcn2,3
Arid5b,3
Nos2,3
H2?Ab1,3
H2?Aa,3
Cd14,3
Ms4a6c,3
Sash1,3
AA467197,3
Prdx6,3
Gbp2,3
Fam126b,3
Aif1,3
S100a9,4
Cxcl2,4
S100a8,4
Lcn2,4
Ccl4,4
Ccl3,4
Il1b,4
Acod1,4
Slfn1,4
Gbp2,4
Aoah,4
Srgn,4
Cd274,4
Igsf6,4
Il1rn,4
Csf3r,4
Slfn5,4
Rnf213,4
Ccrl2,4
Irak3,4
Il1f9,4
Arid5b,4
Fmnl2,4
Gadd45a,4
Basp1,4
Clec4e,4
Hcar2,4
Irgm1,4
Il1r2,4
Fyb,4
Apoe,5
Ccl6,5
Lsp1,5
Clec7a,5
S100a6,5
Malat1,5
Txnip,5
Dennd4a,5
Adipor2,5
Atp6v0d2,5
Myo5a,5
Alcam,5
Cd9,5
Trps1,5
Eps8,5
Fndc3a,5
Crip1,5
Fmnl2,5
Acer3,5
Ahnak,5
Cd14,5
Itga4,5
Vim,5
Lhfpl2,5
Xylt1,5
Runx1,5
Sh3bgrl,5
Fn1,5
Ctss,5
Cd93,5
