Symbols,Cluster
1100001G20Rik,1
1600012H06Rik,1
1600014C10Rik,1
1700019L03Rik,1
1700123I01Rik,1
1810033B17Rik,1
2310011J03Rik,1
2810474O19Rik,1
3000002C10Rik,1
42624,1
4930562F07Rik,1
4933416M07Rik,1
5830416P10Rik,1
6530402F18Rik,1
9330159M07Rik,1
9430076C15Rik,1
9630028B13Rik,1
AA467197,1
AA986860,1
Abcc1,1
Abi2,1
Abtb2,1
Acap1,1
Acly,1
Acot7,1
Acoxl,1
Acpp,1
Adam8,1
Adamtsl4,1
Adgb,1
Adora2a,1
Adora2b,1
Adprh,1
Adssl1,1
Agpat9,1
Ahr,1
Alas1,1
Aldoa,1
Aldoc,1
Alg9,1
Ambp,1
Amica1,1
Angel2,1
Antxr2,1
Anxa2,1
Ap4b1,1
Apbb1ip,1
Apbb3,1
Apobr,1
Arf5,1
Arfgef1,1
Arg1,1
Arg2,1
Arid5b,1
Arl1,1
Arrdc4,1
Asprv1,1
Atg13,1
Atp1b3,1
Atp6v1e1,1
Atp8b4,1
Atxn7l3,1
Auts2,1
B230120H23Rik,1
B430306N03Rik,1
BC018473,1
Bcl2a1a,1
Bcl2a1b,1
Bcl2a1d,1
Bcl2l11,1
Bet1l,1
Bhlhe40,1
Bnip3,1
Bsg,1
Bst1,1
Btg1,1
C030039L03Rik,1
C030046E11Rik,1
Cabp4,1
Cacfd1,1
Car2,1
Car4,1
Cass4,1
Cblb,1
Ccdc41,1
Ccdc71l,1
Ccdc83,1
Ccdc88b,1
Ccl6,1
Ccl9,1
Ccnf,1
Ccr1,1
Cd177,1
Cd24a,1
Cd300lf,1
Cd44,1
Cd53,1
Cd80,1
Cd9,1
Cdc42ep2,1
Cdca4,1
Cdh1,1
Cdk5r1,1
Cdyl,1
Celsr3,1
Chfr,1
Chi3l3,1
Chi3l4,1
Chmp2a,1
Chst11,1
Ciapin1,1
Clcf1,1
Cldn25,1
Clec3a,1
Clec4d,1
Clec4e,1
Clec4n,1
Clec5a,1
Clec7a,1
Cln3,1
Cln5,1
Cog3,1
Col4a3bp,1
Cope,1
Cox17,1
Creld2,1
Cry1,1
Cs,1
Csf1,1
Csf2ra,1
Csf2rb,1
Csf2rb2,1
Csnk1g1,1
Ctu1,1
Cxcl3,1
Cxcr2,1
Cybasc3,1
Cyp4f18,1
Dapp1,1
Ddx28,1
Dennd2d,1
Dennd3,1
Dennd4a,1
Dgat1,1
Dgat2,1
Dgcr8,1
Diap1,1
Dlst,1
Dmkn,1
Dnajc1,1
