Symbols,Cluster
Lyve1,1
F13a1,1
Dab2,1
Hbb-bs,4
Hbb-b1,4
Hbb-b2,4
Hbb-bt,4
Junb,6
Egr1,6
Gpx3,1
Mrc1,1
Ednrb,1
Ecscr,7
Pf4,1
Col27a1,7
Vim,1
Mlxipl,6
Ube2c,2
Jun,7
Sparc,6
Gpr56,6
Olfml3,7
Tmem119,7
Selplg,7
2810417H13Rik,2
Rhob,7
Hba-a1,4
Cenpa,3
Hba-a2,4
Igf2bp1,2
Emb,2
Birc5,2
Apoe,4
Pgk1,2
Camk2n1,6
Lrrc3,7
Mafb,7
Sgk1,7
Whrn,7
H2afx,3
P2ry13,6
Plin2,1
Btg2,7
Fos,6
Cdca8,3
Plxdc2,7
Pmepa1,7
Hmgb2,2
Socs3,7
Hvcn1,7
Zfp36,6
Stmn1,3
Hmox1,1
Igfbp4,1
Ier5,7
Siglech,6
Pmp22,7
Top2a,3
Cks1b,2
P2ry12,6
Igf2bp3,3
Cd37,6
Dok2,1
Hexb,6
Mcm6,2
Soga1,7
AB124611,4
Iqgap1,1
Gas7,1
Ehd1,1
Tanc2,7
Mcm5,3
Lpl,1
Cst3,7
Sall1,6
Rrm1,2
Cdk1,3
Snx2,1
Pdgfb,6
H2-DMb1,7
Nme4,1
Dut,2
Hist1h2ah,4
Crybb1,5
Aurkb,3
Fosb,7
Clec4a1,1
Rpl13,2
Igf1,1
Slc12a2,5
Ctsf,5
Lmnb1,3
Ran,2
Rtn4rl1,6
Nnat,3
Tspan7,6
Thrsp,7
Nme1,2
F11r,7
Scn1b,7
2700094K13Rik,2
Lrba,7
Spc24,3
Gins2,2
Dynll1,2
Hist1h2an,4
Folr2,1
Hspd1,2
Gp9,7
Anxa2,1
Plxdc1,6
Tpm4,2
Lpcat2,6
Gfm2,7
Nes,4
Cd74,7
Colec12,1
Ldha,2
Zfhx3,6
Csrp1,2
Ms4a6c,1
Dusp1,6
Mcm4,2
Tspo,1
Cstb,1
Cacybp,2
Emilin1,3
4632428N05Rik,7
Ppcdc,7
Ltc4s,5
Tmem100,7
Bhlhe41,7
Lair1,7
Mif,2
Gal3st4,6
Calm1,2
Gpr34,5
Iffo1,6
Ybx1,2
Tmcc3,7
Eif1ax,2
Slc2a5,6
Srpk3,5
Gm13889,5
Psat1,4
Pgam1,2
Ngfrap1,2
Nhp2,2
Pcna,3
Pag1,7
Cd14,7
Nap1l1,2
Tacc3,4
Npnt,5
Plk1,3
Tk1,3
Gpx1,2
Cd97,2
Rrm2,3
Ccl24,2
Cd9,7
Txn1,2
Hist1h2ak,4
Cnn2,2
Zfp691,7
Tpi1,2
Ccnb2,3
Phyhd1,6
Cd53,5
Asf1b,2
Atp5g3,2
Mpp1,1
Anp32b,3
Capn3,7
Slc22a17,7
Cd82,6
H2afz,3
Cd81,6
Hist1h1e,7
Lat2,7
Mcm2,3
Snn,5
Smarca2,5
Mki67,4
Upk1b,7
Rab6b,7
Rpl13a,2
Fam21,4
Gmnn,2
Klf4,6
Fcgr2b,7
Gnb2l1,2
Slc1a3,7
Knstrn,3
Incenp,3
Tgm2,7
Ptpn7,2
Cybb,1
Gsn,2
Ubxn1,5
Ccna2,3
Pde1b,5
Itgb5,6
H2-DMa,7
Nckap5l,5
Meis3,5
Myo5a,1
5430435G22Rik,1
Hmga1,3
Hmga1-rs1,3
Dnajc9,3
Adora3,6
Dbi,2
Prelid1,2
Clec4a3,5
Trpm2,7
Aldh2,1
Mlph,7
Itpr2,7
Tpx2,3
Stard8,1
Sh3bgrl,1
Tpm2,2
Ifi204,1
Marcksl1,1
Pmf1,4
Chst1,7
Camk1,5
Abcg1,5
Iqgap3,5
Fam64a,3
Cebpa,7
Serpine2,5
Uhrf1,3
Nfia,7
C1qbp,2
Ybx3,2
Aurka,3
Bbs9,7
Ldhb,6
Aldoa,2
Gtpbp1,5
Havcr2,6
Racgap1,3
Ckap2l,3
Tmem44,5
Spp1,1
Mgll,6
Slco2b1,7
Liph,7
Fam167b,7
Trem2,7
Shfm1,2
Cdca3,3
Arhgap22,7
Hsp90ab1,3
Jund,6
Myl12a,2
Rfc5,2
Eng,7
Mrpl28,2
Lgals1,1
Ms4a6b,1
Frmd4a,7
Rcn3,2
Hist1h2ac,5
Pcdhga1,5
Actg1,3
Eif5a,2
Srgap2,6
Cenph,2
Snx3,1
Fam96a,2
Anxa5,1
Tuba1b,3
Rbbp7,2
Paqr4,4
Hnrnpab,2
Fen1,3
Numb,7
Tagln2,2
Cdkn1a,1
Tomm5,2
Sap25,6
Cdt1,3
Emilin2,2
Zfp579,6
Dtx3,6
Cct3,3
Lhfpl2,7
Nuak1,7
Asap3,7
Fmnl3,6
Stab1,1
Uck2,2
Grina,5
Vamp2,5
Sema4g,6
Sult1a1,7
Tmem8,1
Atp5b,3
Tubb5,3
Hint1,2
Lsm4,2
Ccnd2,2
Serp1,1
Rplp1,7
BC037034,6
Bmf,7
Ctss,7
Nusap1,3
Csf2ra,7
Msr1,1
Mxd3,3
Akna,7
Nt5dc2,1
Srgn,7
Fcna,1
Bub1b,3
Calm3,4
Erf,7
Ypel3,5
Sub1,2
Mrpl54,2
Sec61b,2
S100a10,1
Aprt,2
Gpr155,6
Tubb6,1
Fth1,2
Prdx2,2
Shmt2,4
Padi2,7
Csf3r,7
Smad7,7
Rnasel,1
Uqcr10,3
Rangap1,3
Rbms1,2
Hspa8,3
Acat3,3
Rgs2,7
Rps27l,2
Ap2s1,1
Klhdc8b,7
Flna,3
Prkcb,5
Ccnb1,3
Cela1,1
Zbtb4,7
Cenpf,4
Fkbp3,2
Usp2,6
Cox5a,2
Rpsa,2
Npl,1
Csnk1e,7
Psmd14,3
Tmem86a,6
Banf1,2
Atp5j2,4
Cttnbp2nl,6
Glrx,1
Kif2c,3
Cmtm6,7
Arl4c,6
Cox6a1,2
Sall3,6
Dst,7
Rnpep,3
Jade2,7
Myo18a,5
Tubb4b,3
Sept9,1
Tmsb10,2
Il10ra,6
Ppa1,2
U2af2,5
Il6st,6
Usp35,7
H2-Aa,7
Abcg3,4
Golm1,6
Ttc28,7
Atp5e,2
Vps72,4
Ccdc38,2
Ccnf,3
Hspe1,2
Eif4e2,4
Skil,7
H2-Ob,7
Raph1,1
Fcgrt,1
Tbxas1,5
Uqcr11,2
1700017B05Rik,6
C5ar2,7
Pkm,3
Hras,4
Dhfr,2
Tuba1c,3
Troap,4
Itgb2,6
Cxcr2,4
Ap2a2,1
Cxxc5,7
Tmem173,6
Cd34,7
Paics,3
Angptl4,3
Ap1s1,2
Atp5g2,3
Hmha1,6
Tpra1,5
Ier3,5
Tlr7,5
Cdk5r1,6
Sae1,3
Arhgap19,1
Orc6,2
Dpy30,2
Zwilch,3
Spata13,7
Pacsin1,5
H3f3a,2
Asph,7
Gramd1a,5
A230050P20Rik,5
H2afv,3
Cox6b1,2
Uchl5,2
Adrb2,7
Sfpq,2
Rgs1,7
Ung,3
Hbb-y,1
Smagp,1
Spint1,6
Itgam,6
Nudcd2,2
Eif4ebp1,1
Safb2,5
Abracl,2
Scd2,4
Trf,6
Unc119,2
Snrnp25,3
Cdc34,3
Oas2,1
Rpl12,7
Rpl22,3
Arpc5,2
Itsn1,1
Serpinh1,2
Anp32e,2
Csf1,5
AI607873,1
Wbp5,1
Trappc6a,2
Kif11,3
LOC102308570,2
Ctsd,6
Sumo1,2
Cables1,7
Fxyd5,2
Tmem261,1
Il6ra,6
Mrpl20,2
Axl,4
Pigt,5
Slc25a39,4
St3gal5,6
Chaf1a,3
Gpi1,3
Hmgb3,2
1110008F13Rik,2
H2-Oa,6
Ftl1,1
Ppic,2
Unc93b1,7
Fabp5,1
Garnl3,7
Tns1,6
Tmem63a,6
Sla2,2
Tgfbr1,6
Mcm10,2
Chsy1,7
Blnk,6
Fbrsl1,6
Ahsa1,2
Ppfia4,5
Mdh2,2
Kcnk12,5
Adrb1,7
Fkbp1a,2
Kif21b,6
Ipo5,3
Etfa,2
Grpel1,2
Ly9,5
Nrros,4
Arsb,5
Abca2,5
Fscn1,7
Rgs7bp,4
Mmp14,7
Ppia,2
Fam166a,3
Itga4,2
Foxm1,4
Prc1,3
Cd44,1
Gpr183,7
Fam134b,6
Erh,2
Mfhas1,7
Pfdn1,3
Twf1,1
Pcsk7,4
Abi3,6
Hip1,1
Sox4,6
Lsm2,2
Lrp1,5
Timm13,2
Serbp1,2
Rpl8,2
Hmgn2,3
Mef2a,7
Btf3,2
Syngr1,6
Entpd1,6
Rad51ap1,3
Endod1,7
Plxnd1,1
Cd84,7
Zc3h11a,5
Naip5,6
Snrpd1,2
Gins1,2
Itgb3,6
E2f1,4
Gas6,4
Cdk4,2
Pdgfa,7
Mcm7,4
Arhgef40,6
Arpc2,3
Smc1a,4
Eno1,2
Cyb5r1,7
Ebi3,4
Rasgrp3,6
Slc12a9,5
Plxna4,7
Smdt1,1
1700037H04Rik,1
Prdx6,2
Ube2l6,4
Cdc23,3
Mrpl34,2
Chd3,5
Nudt21,2
Kars,3
Clec10a,1
Slco4a1,7
Mylip,7
Rpa1,3
Tomm7,2
Gdi1,6
Cfdp1,2
Tpd52,2
Rilpl2,1
C1qa,6
Ms4a7,1
Orai1,5
Pqlc2,4
Abhd17a,3
Ccl3,6
Sh3bgrl3,1
Cd52,4
Rad51,2
Cpd,4
Snrpa1,2
Jam2,7
Mrpl36,2
Rasal3,6
