Symbols,Cluster
Abcg4,1
8430419L09Rik,1
Gtf2f1,1
Mcm4,1
Spna1,1
Paqr9,1
Popdc2,1
Tapt1,1
Josd2,1
Tmem56,1
Cdc34,1
Samd1,1
Aldh1a1,1
Dcaf7,1
Tnfaip2,1
E2f4,1
Zdhhc14,1
Atp5j2,1
2310003C23Rik,1
Hyal2,1
Pklr,1
Ppp2r4,1
Mgst3,1
Pop5,1
Tnk2,1
Tspan33,1
Tal1,1
Aco1,1
Stx2,1
Hspbp1,1
Cdk1,1
Hnrnpc,1
Spnb1,1
Rfx2,1
Atp5o,1
Slc43a1,1
Uqcrfs1,1
Pabpc4,1
Cela1,1
Slc43a3,1
Isca1,1
Kif22,1
Syf2,1
Srp19,1
Eef2,1
Leprot,1
Rpl27a,1
BC021767,1
Nup133,1
Slc26a1,1
Tmc8,1
Butr1,1
Orc2,1
Eef1d,1
Hars,1
Pkhd1l1,1
Pccb,1
Sod1,1
2010106G01Rik,1
Rnaseh2c,1
Trak2,1
Ank1,1
Ccne1,1
Pdap1,1
Tmem9,1
1110004E09Rik,1
Idh3b,1
Ccdc74a,1
Polq,1
Rrm2,1
2210023G05Rik,1
Ppox,1
Arhgef12,1
Myo1d,1
Memo1,1
Mrpl28,1
Gps2,1
PAPK-A,1
Epb4.9,1
Ddx1,1
Klhdc8b,1
mKIAA1994,1
Grina,1
Nup85,1
Ctse,1
Trim2,1
Hspa14,1
Gpatch8,1
Afg3l2,1
Nsf,1
Daam1,1
Oasl1,1
Cenph,1
Cnp,1
Necap2,1
Rexo2,1
Ampd3,1
Camsap1l1,1
Cs,1
Uros,1
Isca2,1
Hs6st1,1
Alad,1
Fam53b,1
Fads3,1
Dnajb2,1
Dek,1
Slc16a10,1
Atf4,1
Cldn13,1
Abca3,1
Rhag,1
Hbb-b1,1
Cyhr1,1
St3gal5,1
2010011I20Rik,1
Prdx2,1
Trfr2,1
Flt3l,1
Kcnn4,1
Fbxo7,1
Carhsp1,1
Darc,1
Tmem14c,1
Klf1,1
Minpp1,1
Psmd5,1
Cdc6,1
Zfpm1,1
Klf3,1
Alas2,1
Aldh18a1,1
Sec14l2,1
Atp5a1,1
Traf4,1
Asap1,1
Tmc6,1
Pmm1,1
Gpc4,1
Dlgap5,1
Ift140,1
2210016F16Rik,1
Cdk4,1
Orc5,1
Eef1e1,1
Tmem8,1
Ddb1,1
Add1,1
Mrpl18,1
Kpc1,1
Smc2,1
Hras1,1
Arhgap23,1
Brpf3,1
Abcb6,1
Hmbs,1
Usp45,1
Abcg2,1
Cdt1,1
Cox17,1
Agap1,1
0610009O20Rik,1
Usp32,1
Gfi1b,1
1190007F08Rik,1
Blvrb,1
Urod,1
Snrpb,1
Cyth3,1
Fcho1,1
Ifrd2,1
Ehd1,1
Polr1c,1
Rnf187,1
Ube2l6,1
Rela,1
Mcm5,1
Cnnm2,1
Mgll,1
Atp5b,1
Fam55b,1
1810009A15Rik,1
Fth1,1
Vangl1,1
Phyhip,1
Cox6a1,1
Dhrs11,1
Birc5,1
Clspn,1
Aldh1a7,1
Abhd16a,1
Pcyt1a,1
Cercam,1
Prkaa1,1
Ppm1l,1
Sfrs3,1
Ftsj1,1
Hagh,1
Fads1,1
Eif3i,1
Ankrd26,1
Ell2,1
Creg1,1
Arf5,1
Isg20,1
Stom,1
Josd1,1
Gm10653,1
Cpox,1
Cnn3,1
Prc1,1
Ermap,1
Cyb5r3,1
Rprd1b,1
Recql4,1
Nudt19,1
Hmgb2,1
Tomm22,1
Ranbp10,1
Peci,1
Mcm7,1
Bsg,1
Rpa2,1
Kel,1
Anapc5,1
Phb2,1
Ryk,1
Fen1,1
Clic4,1
Klhdc3,1
Rfc4,1
Mcm2,1
Phf10,1
5-Mar,1
Eif2d,1
Aven,1
Rab3il1,1
Cd24a,1
Hebp1,1
Slc38a5,1
Rhd,1
Zc3h18,1
Ubac1,1
Car2,1
Rnf213,1
Selenbp1,1
Dtl,1
Glrx5,1
Pfkm,1
Lmna,1
Fam132a,1
Hemgn,1
Sh2d4a,1
Ppap2a,1
Fech,1
AK210533,1
Dclre1a,1
Nsmce4a,1
Lrrc14,1
Tk1,1
Hmgb3,1
Mkrn1,1
Rpl13,1
Taf12,1
Pcna,1
Ninl,1
Rgs12,1
Ap1b1,1
Aurka,1
Otub2,1
Pla2g12a,1
Tomm6,1
Steap3,1
Spag5,1
Gdpd1,1
Trim10,1
Cenpn,1
Cited4,1
Psmf1,1
Hcfc1,1
Fhdc1,1
Rad23a,1
E2f2,1
Lig1,1
Slc22a23,1
Ndufb2,1
Ndufb9,1
Dym,1
Slc25a12,1
Bola3,1
