Symbols,Cluster
ENSMUSG00000036641,1
ENSMUSG00000032997,1
ENSMUSG00000043391,1
ENSMUSG00000038685,1
ENSMUSG00000050919,1
ENSMUSG00000038188,1
ENSMUSG00000064141,1
ENSMUSG00000031925,1
ENSMUSG00000048200,1
ENSMUSG00000038495,1
ENSMUSG00000059022,1
ENSMUSG00000034686,1
ENSMUSG00000038267,1
ENSMUSG00000025877,1
ENSMUSG00000049608,1
ENSMUSG00000024769,1
ENSMUSG00000037922,1
ENSMUSG00000073555,1
ENSMUSG00000056234,1
ENSMUSG00000021838,1
ENSMUSG00000044712,1
ENSMUSG00000000127,1
ENSMUSG00000074657,1
ENSMUSG00000025576,1
ENSMUSG00000044708,1
ENSMUSG00000028989,1
ENSMUSG00000044303,1
ENSMUSG00000020250,1
ENSMUSG00000057135,1
ENSMUSG00000041417,1
ENSMUSG00000005089,1
ENSMUSG00000055799,1
ENSMUSG00000024600,1
ENSMUSG00000016624,1
ENSMUSG00000044702,1
ENSMUSG00000070873,1
ENSMUSG00000026649,1
ENSMUSG00000070056,1
ENSMUSG00000014786,1
ENSMUSG00000014782,1
ENSMUSG00000059401,1
ENSMUSG00000036591,1
ENSMUSG00000046727,1
ENSMUSG00000048264,1
ENSMUSG00000023079,1
ENSMUSG00000078630,1
ENSMUSG00000069792,1
ENSMUSG00000026566,1
ENSMUSG00000069917,1
ENSMUSG00000043664,1
ENSMUSG00000090942,1
ENSMUSG00000010021,1
ENSMUSG00000001249,1
ENSMUSG00000022957,1
ENSMUSG00000051043,1
ENSMUSG00000021779,1
ENSMUSG00000057722,1
ENSMUSG00000026121,1
ENSMUSG00000050994,1
ENSMUSG00000018906,1
ENSMUSG00000036580,1
ENSMUSG00000074874,1
ENSMUSG00000040957,1
ENSMUSG00000020654,1
ENSMUSG00000022218,1
ENSMUSG00000006435,1
ENSMUSG00000016128,1
ENSMUSG00000004633,1
ENSMUSG00000031824,1
ENSMUSG00000060147,1
ENSMUSG00000034744,1
ENSMUSG00000045404,1
ENSMUSG00000049676,1
ENSMUSG00000092060,1
ENSMUSG00000006527,1
