Symbols,cluster
42431,1
42618,1
42623,1
42625,1
0610038B21Rik,1
1700001K23Rik,1
1700008O03Rik,1
1700020L24Rik,1
1700029I15Rik,1
1700037C18Rik,1
1700061G19Rik,1
1810009N02Rik,1
1810043G02Rik,1
2310067B10Rik,1
2700089E24Rik,1
2810007J24Rik,1
4921501E09Rik,1
4930505O20Rik,1
4930555F03Rik,1
4933402E13Rik,1
5330426P16Rik,1
5930412G12Rik,1
6030452D12Rik,1
6330549D23Rik,1
6430531B16Rik,1
8030462N17Rik,1
8430408G22Rik,1
9130008F23Rik,1
9930038B18Rik,1
A130077B15Rik,1
A2m,1
A430005L14Rik,1
A830005F24Rik,1
Aars2,1
Aasdhppt,1
Aass,1
Abca13,1
Abca6,1
Abca7,1
Abca8b,1
Abcf3,1
Abhd14a,1
Acads,1
Acadsb,1
Acan,1
Acat3,1
Ace,1
Acox2,1
Acta2,1
Actb,1
Actn3,1
Actr6,1
Actr8,1
Adam23,1
Adam8,1
Adamts10,1
Adck4,1
Adpgk,1
AF067061,1
Aff1,1
Afp,1
Agap2,1
Agxt2,1
AI118078,1
Aifm2,1
Aig1,1
Ajap1,1
Akap1,1
Akap3,1
Akr1c19,1
Akt1s1,1
Aldh1a2,1
Aldob,1
Alg3,1
Alg9,1
Alkbh3,1
Aloxe3,1
Alpk2,1
Alx3,1
Ambp,1
Amhr2,1
Amn,1
Ampd1,1
Amph,1
Anapc1,1
Ankar,1
Ankle1,1
Ankrd2,1
Ankrd40,1
Ankrd60,1
Ankrd7,1
Ano9,1
Aoc2,1
Aox1,1
Ap1m2,1
Ap2a1,1
Ap5m1,1
Apbb1ip,1
Aph1c,1
Apoa1,1
Apoa2,1
Apoa4,1
Apobec3,1
Apof,1
Apom,1
Aqp3,1
Arap1,1
Areg,1
Arfgap1,1
Arg2,1
Arhgap10,1
Arhgap8,1
Arid1b,1
Arid5b,1
Armc9,1
Arnt,1
Arpp21,1
Arr3,1
Art5,1
Asb17os,1
Ash1l,1
Aspscr1,1
Ass1,1
Atg9a,1
Athl1,1
Atp1a4,1
Atp6v1g2,1
Atrn,1
Atxn2l,1
Atxn7l3,1
B230118H07Rik,1
B3gnt9,1
Baat,1
Baiap3,1
Bank1,1
Batf3,1
BC049635,1
BC051665,1
BC080695,1
Bcap31,1
Bcat1,1
Bcl2,1
Bcl2l1,1
Bcl2l11,1
Bcl9l,1
Bex1,1
Bglap,1
Bhlhe41,1
Bhmt2,1
Birc6,1
Bloc1s3,1
Bmpr1b,1
Brca2,1
Brd4,1
Bricd5,1
Brinp3,1
Bscl2,1
Bsn,1
Btbd11,1
Btrc,1
Bysl,1
C330021F23Rik,1
C3ar1,1
C87414,1
Cacnb3,1
Cage1,1
Camkv,1
Camsap3,1
Capn5,1
Capn8,1
Capsl,1
Car12,1
Car4,1
Casc1,1
