Symbols,Cluster
ENSMUSG00000056394,1
ENSMUSG00000026683,1
ENSMUSG00000066551,1
ENSMUSG00000020649,1
ENSMUSG00000027203,1
ENSMUSG00000003038,1
ENSMUSG00000033222,1
ENSMUSG00000001228,1
ENSMUSG00000030978,1
ENSMUSG00000041859,1
ENSMUSG00000032555,1
ENSMUSG00000019992,1
ENSMUSG00000025395,1
ENSMUSG00000002835,1
ENSMUSG00000051220,1
ENSMUSG00000034329,1
ENSMUSG00000031756,1
ENSMUSG00000026434,1
ENSMUSG00000033596,1
ENSMUSG00000024056,1
ENSMUSG00000029414,1
ENSMUSG00000022034,1
ENSMUSG00000019942,1
ENSMUSG00000036768,1
ENSMUSG00000026196,1
ENSMUSG00000044201,1
ENSMUSG00000021932,1
ENSMUSG00000020914,1
ENSMUSG00000022322,1
ENSMUSG00000029247,1
ENSMUSG00000022673,1
ENSMUSG00000038943,1
ENSMUSG00000028312,1
ENSMUSG00000040204,1
ENSMUSG00000002870,1
ENSMUSG00000052798,1
ENSMUSG00000046179,1
ENSMUSG00000031262,1
ENSMUSG00000029730,1
ENSMUSG00000022945,1
ENSMUSG00000042029,1
ENSMUSG00000078521,1
ENSMUSG00000009575,1
ENSMUSG00000022360,1
ENSMUSG00000054717,1
ENSMUSG00000062867,1
ENSMUSG00000034023,1
ENSMUSG00000036777,1
ENSMUSG00000012443,1
ENSMUSG00000039231,1
ENSMUSG00000031004,1
ENSMUSG00000027714,1
ENSMUSG00000005410,1
ENSMUSG00000057406,1
ENSMUSG00000000751,1
ENSMUSG00000028884,1
ENSMUSG00000020492,1
ENSMUSG00000025747,1
ENSMUSG00000035842,1
ENSMUSG00000034311,1
ENSMUSG00000046295,1
ENSMUSG00000030528,1
ENSMUSG00000030346,1
ENSMUSG00000029910,1
ENSMUSG00000005233,1
ENSMUSG00000019214,1
ENSMUSG00000004099,1
ENSMUSG00000022021,1
ENSMUSG00000041133,1
ENSMUSG00000045273,1
ENSMUSG00000064032,1
ENSMUSG00000069793,1
ENSMUSG00000005470,1
ENSMUSG00000027342,1
ENSMUSG00000029836,1
ENSMUSG00000037313,1
ENSMUSG00000039509,1
ENSMUSG00000024795,1
ENSMUSG00000021665,1
